sku;orders;units;description
SKU001;120;500;"High frequency item"
SKU002;80;1200;"High volume item"
SKU003;95;800;"High frequency and volume"
SKU004;50;400;"Medium frequency and volume"
SKU005;30;600;"Medium frequency, high volume"
SKU006;70;200;"High frequency, low volume"
SKU007;25;150;"Low frequency and volume"
SKU008;15;100;"Very low frequency and volume"
SKU009;40;350;"Medium frequency and volume"
SKU010;60;450;"Medium-high frequency and volume"
SKU011;10;900;"Low frequency, high volume"
SKU012;55;250;"Medium frequency, low volume"
SKU013;35;300;"Medium frequency and volume"
SKU014;5;50;"Very low frequency and volume"
SKU015;45;550;"Medium frequency, high volume"
SKU016;20;180;"Low frequency and volume"
SKU017;75;320;"High frequency, medium volume"
SKU018;65;280;"Medium-high frequency, medium volume"
SKU019;85;420;"High frequency, medium volume"
SKU020;25;700;"Low frequency, high volume"
